Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      656     0.00     0.00  std::_List_const_iterator<StackElement>::operator*() const
  0.00      0.00     0.00      656     0.00     0.00  std::_List_const_iterator<StackElement>::operator++()
  0.00      0.00     0.00      656     0.00     0.00  void std::__cxx11::list<StackElement, std::allocator<StackElement> >::emplace_back<StackElement const&>(StackElement const&)
  0.00      0.00     0.00      616     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<StackElement>, StackElement>::_S_select_on_copy(std::allocator<StackElement> const&)
  0.00      0.00     0.00      616     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::end() const
  0.00      0.00     0.00      616     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::begin() const
  0.00      0.00     0.00      616     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_impl::_Deque_impl(std::allocator<StackElement> const&)
  0.00      0.00     0.00      616     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_base(std::allocator<StackElement> const&, unsigned long)
  0.00      0.00     0.00      616     0.00     0.00  std::allocator_traits<std::allocator<StackElement> >::select_on_container_copy_construction(std::allocator<StackElement> const&)
  0.00      0.00     0.00      616     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*> std::__uninitialized_copy<false>::__uninit_copy<std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*> >(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>)
  0.00      0.00     0.00      616     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::deque(std::deque<StackElement, std::allocator<StackElement> > const&)
  0.00      0.00     0.00      616     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::stack(std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > > const&)
  0.00      0.00     0.00      616     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*> std::uninitialized_copy<std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*> >(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>)
  0.00      0.00     0.00      616     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*> std::__uninitialized_copy_a<std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>, StackElement>(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::allocator<StackElement>&)
  0.00      0.00     0.00      570     0.00     0.00  std::remove_reference<StackElement**&>::type&& std::move<StackElement**&>(StackElement**&)
  0.00      0.00     0.00      570     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      0.00     0.00      459     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<StackElement> >::~new_allocator()
  0.00      0.00     0.00      459     0.00     0.00  std::allocator<std::_List_node<StackElement> >::~allocator()
  0.00      0.00     0.00      457     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char)
  0.00      0.00     0.00      434     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<StackElement> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<StackElement> > const&)
  0.00      0.00     0.00      434     0.00     0.00  std::allocator<std::_List_node<StackElement> >::allocator(std::allocator<std::_List_node<StackElement> > const&)
  0.00      0.00     0.00      434     0.00     0.00  std::_List_const_iterator<StackElement>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.00     0.00      434     0.00     0.00  std::remove_reference<std::allocator<std::_List_node<StackElement> >&>::type&& std::move<std::allocator<std::_List_node<StackElement> >&>(std::allocator<std::_List_node<StackElement> >&)
  0.00      0.00     0.00      380     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::_Deque_iterator<StackElement, StackElement&, StackElement*> > >, std::is_move_constructible<std::_Deque_iterator<StackElement, StackElement&, StackElement*> >, std::is_move_assignable<std::_Deque_iterator<StackElement, StackElement&, StackElement*> > >::value, void>::type std::swap<std::_Deque_iterator<StackElement, StackElement&, StackElement*> >(std::_Deque_iterator<StackElement, StackElement&, StackElement*>&, std::_Deque_iterator<StackElement, StackElement&, StackElement*>&)
  0.00      0.00     0.00      351     0.00     0.00  stackTop(std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >)
  0.00      0.00     0.00      292     0.00     0.00  void __gnu_cxx::new_allocator<StackElement>::construct<StackElement, StackElement const&>(StackElement*, StackElement const&)
  0.00      0.00     0.00      292     0.00     0.00  void std::allocator_traits<std::allocator<StackElement> >::construct<StackElement, StackElement const&>(std::allocator<StackElement>&, StackElement*, StackElement const&)
  0.00      0.00     0.00      292     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::push_back(StackElement const&)
  0.00      0.00     0.00      292     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::push(StackElement const&)
  0.00      0.00     0.00      285     0.00     0.00  std::remove_reference<std::allocator<StackElement>&>::type&& std::move<std::allocator<StackElement>&>(std::allocator<StackElement>&)
  0.00      0.00     0.00      242     0.00     0.00  void __gnu_cxx::new_allocator<StackElement>::destroy<StackElement>(StackElement*)
  0.00      0.00     0.00      242     0.00     0.00  void std::allocator_traits<std::allocator<StackElement> >::destroy<StackElement>(std::allocator<StackElement>&, StackElement*)
  0.00      0.00     0.00      242     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::pop_back()
  0.00      0.00     0.00      242     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::pop()
  0.00      0.00     0.00      242     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_List_impl::~_List_impl()
  0.00      0.00     0.00      242     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_clear()
  0.00      0.00     0.00      242     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::~_List_base()
  0.00      0.00     0.00      242     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::~list()
  0.00      0.00     0.00      242     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00      242     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00      217     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::_List_node<StackElement> >, std::_List_node<StackElement> >::_S_select_on_copy(std::allocator<std::_List_node<StackElement> > const&)
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_get_Node_allocator() const
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::end() const
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::begin() const
  0.00      0.00     0.00      217     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<StackElement> > >::select_on_container_copy_construction(std::allocator<std::_List_node<StackElement> > const&)
  0.00      0.00     0.00      217     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_List_impl::_List_impl(std::allocator<std::_List_node<StackElement> >&&)
